Date,Open,High,Low,Close,Adj Close,Volume
2022-07-05,73.98999786376953,77.62999725341797,73.98999786376953,77.23999786376953,75.93329620361328,2058000
2022-07-06,77.4800033569336,78.4800033569336,76.4800033569336,77.87999725341797,76.5624771118164,1118200
2022-07-07,78.5,80.37999725341797,78.02999877929688,79.80000305175781,78.44999694824219,814500
2022-07-08,79.66999816894531,80.18000030517578,77.68000030517578,78.5199966430664,77.19164276123047,794200
2022-07-11,77.81999969482422,78.48999786376953,77.19000244140625,77.63999938964844,76.32653045654297,498700
2022-07-12,77.18000030517578,78.5999984741211,76.4800033569336,77.05999755859375,75.75634765625,495000
2022-07-13,75.87999725341797,77.3499984741211,75.4800033569336,75.69999694824219,74.41934967041016,718100
2022-07-14,74.36000061035156,76.0999984741211,73.69999694824219,75.94000244140625,74.6552963256836,1098000
2022-07-15,75.66000366210938,76.69000244140625,74.47000122070312,76.66000366210938,75.36312103271484,972500
2022-07-18,77.83999633789062,79.01000213623047,77.62999725341797,78.1500015258789,76.82791137695312,867500
2022-07-19,79.26000213623047,81.66000366210938,79.01000213623047,81.5,80.12123107910156,894700
2022-07-20,81.1500015258789,84.02999877929688,80.83000183105469,83.58999633789062,82.17587280273438,1184900
2022-07-21,83.04000091552734,83.55999755859375,80.9000015258789,82.69999694824219,81.30093383789062,1316500
2022-07-22,76.69999694824219,79.70999908447266,76.0999984741211,77.05000305175781,75.74651336669922,1573200
2022-07-25,77.47000122070312,78.08999633789062,76.7699966430664,78.05000305175781,76.72959899902344,1103600
2022-07-26,77.7699966430664,77.98999786376953,75.4000015258789,75.41999816894531,74.14408874511719,937400
2022-07-27,75.70999908447266,78.01000213623047,75.70999908447266,77.6500015258789,76.33636474609375,711700
2022-07-28,77.45999908447266,78.77999877929688,76.9000015258789,78.12999725341797,76.80824279785156,576400
2022-07-29,78.37999725341797,79.37999725341797,78.01000213623047,79.13999938964844,77.80116271972656,615900
2022-08-01,79.0,79.41000366210938,77.9000015258789,79.22000122070312,77.87979888916016,626100
2022-08-02,78.62999725341797,78.83000183105469,76.87999725341797,78.0,76.6804428100586,921700
2022-08-03,78.98999786376953,80.36000061035156,78.48999786376953,80.18000030517578,78.82356262207031,780800
2022-08-04,79.86000061035156,80.41999816894531,78.91000366210938,79.01000213623047,77.6733627319336,688300
2022-08-05,78.11000061035156,79.19999694824219,77.7300033569336,78.86000061035156,77.52589416503906,918900
2022-08-08,79.12000274658203,79.54000091552734,77.8499984741211,78.55999755859375,77.23097229003906,770000
2022-08-09,78.7300033569336,78.7300033569336,76.7699966430664,77.7699966430664,76.45433807373047,860300
2022-08-10,79.5,81.11000061035156,78.95999908447266,80.05000305175781,78.69577026367188,643300
2022-08-11,80.77999877929688,81.95999908447266,80.77999877929688,81.16000366210938,79.7869873046875,750100
2022-08-12,81.7300033569336,82.33000183105469,81.25,82.31999969482422,80.92735290527344,484500
2022-08-15,81.70999908447266,81.86000061035156,80.12000274658203,81.33999633789062,79.96393585205078,584700
2022-08-16,80.7699966430664,82.26000213623047,80.4800033569336,81.94000244140625,80.55379486083984,769500
2022-08-17,80.76000213623047,81.7699966430664,80.12999725341797,81.11000061035156,79.73783111572266,590300
2022-08-18,81.01000213623047,81.44999694824219,80.56999969482422,80.9800033569336,79.61003875732422,556400
2022-08-19,80.69000244140625,81.51000213623047,79.54000091552734,81.38999938964844,80.01309204101562,1288100
2022-08-22,80.02999877929688,80.12999725341797,77.97000122070312,78.8499984741211,77.51605987548828,678400
2022-08-23,78.86000061035156,79.94000244140625,78.26000213623047,78.5999984741211,77.27029418945312,857700
